date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-11-01,6.8,-0.1,6.2,4.6,,360,5.4,9.4,1007.6,
2021-11-02,7.8,1.6,9.6,23.7,,358.8,6.4,9.4,1003.9,
2021-11-03,5.3,2.1,8.1,3.6,,360,4.6,9.4,1007.6,
2021-11-04,10.8,10.4,9.7,2.3,,350.4,7.6,9.4,1004.3,
2021-11-05,5.6,2.7,9.4,0,,0.9,5.6,9.4,1022,
2021-11-06,4.5,-0.5,9.9,0,,360,4.3,9.4,1030.3,
2021-11-07,6.9,10.5,9.7,0,,360,5,9.4,1021.3,
2021-11-08,5.9,3.9,8.7,0.7,,360,4.9,9.4,1022.4,
2021-11-09,5.7,1.1,9.9,0,,1.7,4.9,9.4,1030.9,
2021-11-10,3.4,-0.2,9.6,0,,1.3,5.9,9.4,1032.1,
2021-11-11,3.9,3.1,4.7,0,,360,4.5,9.4,1026.9,
2021-11-12,3.6,3.4,4.1,0.2,,360,4.6,9.4,1023.5,
2021-11-13,3.8,3,4.7,0.1,,360,4,9.4,1019.1,
2021-11-14,5,3.8,6,1.5,,360,4.3,9.4,1022.3,
2021-11-15,6.4,5,7.8,0,,358.7,5.5,9.4,1026.9,
2021-11-16,6.6,5.8,8.3,0.1,,360,4.9,9.4,1026.1,
2021-11-17,6.1,5.2,7.2,0,,360,3.7,9.4,1022.7,
2021-11-18,6.1,1.1,9,0,,359.5,4.7,9.4,1028.7,
2021-11-19,5.6,0.5,9.8,0,,360,4.3,9.4,1028,
2021-11-20,4.1,-0.2,9.5,0,,360,3.7,9.4,1025.1,
2021-11-21,1.9,-0.3,8.5,0,,0.5,4.2,9.4,1013.9,
2021-11-22,4.1,2.2,5.7,0.1,,360,4,9.4,1017.6,
2021-11-23,2.6,-0.2,6.3,0,,360,4.5,9.4,1027.7,
2021-11-24,-1,-0.3,6,0,,1.3,4,9.4,1026.6,
2021-11-25,-0.7,-0.1,2.4,0.1,,360,4.6,9.4,1014.9,
2021-11-26,1,-1.5,2.4,18.7,,360,4.8,9.4,1000.2,
2021-11-27,0.5,-0.1,1.1,6.3,,360,5.1,9.4,997.9,
2021-11-28,0.5,-0.1,1.3,9.8,,360,5.1,9.4,996.4,
2021-11-29,-0.1,-0.2,3.4,0.7,,359.2,6.6,9.4,1002.5,
2021-11-30,-2.1,-0.3,3.5,0,,360,4.9,9.4,1011.5,
2021-12-01,0.7,-0.6,7.7,0,,360,5.1,9.4,1007.2,
2021-12-02,2.3,1,3.6,13.3,,360,5.7,9.4,1001.9,
2021-12-03,0.8,-0.1,5.6,0,,360,4.6,9.4,1012.8,
2021-12-04,-2.3,-0.2,1.8,0,,360,4.5,9.4,1010,
2021-12-05,0.1,-0.2,0.7,15.9,,360,5.1,9.4,1005.7,
2021-12-06,1.4,-1.5,5.9,0,,353.1,9.6,9.4,1010.9,
