date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-12-01,0.7,-3.9,7.7,0,,360,5.1,13,1007.2,
2021-12-02,2.4,1,3.6,13.1,,360,5.7,14.8,1001.9,
2021-12-03,0.8,-3.9,5.6,0,,360,4.7,18.4,1012.8,
2021-12-04,-2.3,-6.6,1.8,0,,360,4.5,14.8,1010,
2021-12-05,0.1,-0.7,0.7,15.4,,360,5.1,14.8,1005.7,
2021-12-06,1.4,-4.4,5.9,0,,353.1,9.6,35.3,1010.9,
2021-12-07,-3,-7.4,3.4,0,,360,4.4,11.2,1014.3,
2021-12-08,-4,-7.1,-1.3,1.4,,360,4.2,11.2,1009.6,
2021-12-09,-0.8,-2.7,0.4,14.2,,360,5.1,13,1005.6,
2021-12-10,-1.9,-3.1,-0.7,0,,360,4.7,13,1005.5,
2021-12-11,-1.8,-5.2,-0.2,0,,358.1,5,13,1013.3,
2021-12-12,-0.1,-8.3,6,0,,351.1,9.2,35.2,1023.1,
2021-12-13,0.7,-0.5,2.9,0,,360,3.9,11.1,1027,
2021-12-14,-0.6,-4.9,5.6,0,,360,4.1,11.2,1028.9,
2021-12-15,0.7,-2,4.1,0,,360,3.6,9.4,1032.4,
2021-12-16,0.5,-4.3,7.8,0,,358.1,5.5,20.5,1033.9,
2021-12-17,1.1,-4.2,7.4,0,,359.3,7.5,29.5,1033,
2021-12-18,-1.5,-6.2,3.7,0,,0.9,6.3,24.1,1034.2,
2021-12-19,0.1,-5.3,7.8,0,,2,5.3,22.3,1022.1,
2021-12-20,-0.9,-6.7,7.1,0,,355.9,10.5,47,1021.7,
2021-12-21,-3,-8.3,1.5,0,,0,4.6,11.2,1027,
2021-12-22,-1.4,-3.3,0.3,0,,0,4.6,14.8,1028.8,
2021-12-23,-4.1,-8,-1.4,0,,0,4.4,11.2,1021.3,
2021-12-24,-2,-6.6,3.3,0,,0,4.8,13,1009.6,
2021-12-25,0.3,-5,7.1,0,,0,5.3,18.4,1007.5,
2021-12-26,0.1,-0.5,1.1,0.7,,0,5.3,14.8,1012.8,
2021-12-27,-0.3,-0.9,0.6,0.1,,0,5.3,13,1011.9,
2021-12-28,0,-0.7,0.5,2.1,,0,3.9,11.2,1008.8,
2021-12-29,0.8,-1.6,6.3,5.4,,0,4.7,38.9,1010.3,
2021-12-30,2.3,-1.5,7.4,0.7,,0,4.4,11.2,1020.3,
2021-12-31,3.1,-1.8,12.4,0,,0,4.5,16.6,1023.9,
